Kernel Behavior Groups for 'gpu_tot_sim_insn':
group-constant:
    "reduce_kernel<512, 1, MeanOps<…> >", min: 693900.0, max: 693900.0, variation: 0.00%, launches: 50
    "unrolled_elementwise_kernel<DivFunctor<float>, _>", min: 6652800.0, max: 6652800.0, variation: 0.00%, launches: 100
    "unrolled_elementwise_kernel<AUnaryFunctor<AddFunctor<float> >, _>", min: 591276.0, max: 591276.0, variation: 0.00%, launches: 12
    "softmax_warp_forward", min: 8858520.0, max: 8858520.0, variation: 0.00%, launches: 12
    "volta_sgemm_64x32_sliced1x4_nn", min: 118540800.0, max: 118540800.0, variation: 0.00%, launches: 36
    "splitKreduce_kernel", min: 7941338.0, max: 8194778.0, variation: 3.19%, launches: 60
    "vectorized_elementwise_kernel<4, pow_tensor_scalar_kernel_impl(…), _>", min: 1858560.0, max: 1858560.0, variation: 0.00%, launches: 12
    "vectorized_elementwise_kernel<4, tanh_kernel_cuda(…), _>", min: 5700276.0, max: 5701036.0, variation: 0.01%, launches: 12
    "volta_sgemm_128x128_tn", min: 372541616.0, max: 372697488.0, variation: 0.04%, launches: 13
    "vectorized_elementwise_kernel<4, neg_kernel_cuda(…), _>", min: 380160.0, max: 380160.0, variation: 0.00%, launches: 75
    "reduce_kernel<512, 4, …>", min: 711710.0, max: 711710.0, variation: 0.00%, launches: 75
    "vectorized_elementwise_kernel<4, DivFunctor<float>, _>", min: 5822.0, max: 5822.0, variation: 0.00%, launches: 25
    "unrolled_elementwise_kernel<MulScalarFunctor<float, float>, _>", min: 4118400.0, max: 4118400.0, variation: 0.00%, launches: 50
    "vectorized_elementwise_kernel<4, tanh_backward_kernel_cuda(…), _>", min: 2112000.0, max: 2112000.0, variation: 0.00%, launches: 12
    "softmax_warp_backward", min: 2249280.0, max: 2249280.0, variation: 0.00%, launches: 12
group-oscillating:
    "vectorized_elementwise_kernel<4, AddFunctor<float>, _>", min: 2434.0, max: 202636224.0, variation: 8325135.17%, launches: 309
    "vectorized_elementwise_kernel<4, BUnaryFunctor<AddFunctor<float>,_>, _>", min: 2260.0, max: 183337536.0, variation: 8112180.35%, launches: 186
    "unrolled_elementwise_kernel<AddFunctor<float>, _>", min: 4583040.0, max: 7878672.0, variation: 71.91%, launches: 87
    "vectorized_elementwise_kernel<4, pow_tensor_scalar_kernel_impl(…), _> (float#3)", min: 380160.0, max: 1520640.0, variation: 300.00%, launches: 37
    "vectorized_elementwise_kernel<4, sqrt_kernel_cuda(…), _>", min: 4328.0, max: 36569088.0, variation: 844841.96%, launches: 173
    "unrolled_elementwise_kernel<MulFunctor<float>, _>", min: 4583040.0, max: 10056672.0, variation: 119.43%, launches: 74
    "unrolled_elementwise_kernel<copy_device_to_device(…), _>", min: 4033920.0, max: 16135680.0, variation: 300.00%, launches: 180
    "volta_sgemm_128x32_nn", min: 20727168.0, max: 389655536.0, variation: 1779.93%, launches: 36
    "vectorized_elementwise_kernel<4, MulScalarFunctor<float, float>, _>", min: 2196.0, max: 173688192.0, variation: 7909198.36%, launches: 812
    "vectorized_elementwise_kernel<4, MulFunctor<float>, _>", min: 443520.0, max: 1774080.0, variation: 300.00%, launches: 135
    "vectorized_elementwise_kernel<4, FillFunctor<float>, _>", min: 583.0, max: 144740160.0, variation: 24826685.59%, launches: 299
    "reduce_kernel<128, 4, …>", min: 369792.0, max: 1479168.0, variation: 300.00%, launches: 98
    "volta_sgemm_128x32_nt", min: 16593792.0, max: 398573568.0, variation: 2301.94%, launches: 72
    "volta_sgemm_64x32_sliced1x4_tn", min: 120900096.0, max: 321108480.0, variation: 165.60%, launches: 36
    "volta_sgemm_128x32_tn", min: 21329280.0, max: 33963456.0, variation: 59.23%, launches: 24
    "vectorized_elementwise_kernel<4, addcmul_cuda_kernel(…), _>", min: 5376.0, max: 270181632.0, variation: 5025600.00%, launches: 148
    "vectorized_elementwise_kernel<4, addcdiv_cuda_kernel(…), _>", min: 19584.0, max: 60162048.0, variation: 307100.00%, launches: 148

Kernel Behavior Groups for 'gpgpu_simulation_time':
group-constant:
    "softmax_warp_forward", min: 11.0, max: 12.0, variation: 9.09%, launches: 12
    "vectorized_elementwise_kernel<4, tanh_kernel_cuda(…), _>", min: 11.0, max: 12.0, variation: 9.09%, launches: 12
    "volta_sgemm_128x128_tn", min: 233.0, max: 237.0, variation: 1.72%, launches: 13
    "softmax_warp_backward", min: 8.0, max: 8.0, variation: 0.00%, launches: 12
group-oscillating:
    "vectorized_elementwise_kernel<4, AddFunctor<float>, _>", min: 3.0, max: 249.0, variation: 8200.00%, launches: 309
    "vectorized_elementwise_kernel<4, BUnaryFunctor<AddFunctor<float>,_>, _>", min: 3.0, max: 107.0, variation: 3466.67%, launches: 186
    "reduce_kernel<512, 1, MeanOps<…> >", min: 5.0, max: 6.0, variation: 20.00%, launches: 50
    "unrolled_elementwise_kernel<AddFunctor<float>, _>", min: 6.0, max: 10.0, variation: 66.67%, launches: 87
    "vectorized_elementwise_kernel<4, pow_tensor_scalar_kernel_impl(…), _> (float#3)", min: 5.0, max: 17.0, variation: 240.00%, launches: 37
    "vectorized_elementwise_kernel<4, sqrt_kernel_cuda(…), _>", min: 3.0, max: 132.0, variation: 4300.00%, launches: 173
    "unrolled_elementwise_kernel<DivFunctor<float>, _>", min: 7.0, max: 9.0, variation: 28.57%, launches: 100
    "unrolled_elementwise_kernel<MulFunctor<float>, _>", min: 9.0, max: 11.0, variation: 22.22%, launches: 74
    "unrolled_elementwise_kernel<copy_device_to_device(…), _>", min: 6.0, max: 17.0, variation: 183.33%, launches: 180
    "volta_sgemm_128x32_nn", min: 17.0, max: 251.0, variation: 1376.47%, launches: 36
    "vectorized_elementwise_kernel<4, MulScalarFunctor<float, float>, _>", min: 3.0, max: 119.0, variation: 3866.67%, launches: 812
    "unrolled_elementwise_kernel<AUnaryFunctor<AddFunctor<float> >, _>", min: 4.0, max: 5.0, variation: 25.00%, launches: 12
    "volta_sgemm_64x32_sliced1x4_nn", min: 76.0, max: 277.0, variation: 264.47%, launches: 36
    "splitKreduce_kernel", min: 13.0, max: 17.0, variation: 30.77%, launches: 60
    "vectorized_elementwise_kernel<4, pow_tensor_scalar_kernel_impl(…), _>", min: 9.0, max: 10.0, variation: 11.11%, launches: 12
    "vectorized_elementwise_kernel<4, MulFunctor<float>, _>", min: 5.0, max: 21.0, variation: 320.00%, launches: 135
    "vectorized_elementwise_kernel<4, FillFunctor<float>, _>", min: 3.0, max: 642.0, variation: 21300.00%, launches: 299
    "reduce_kernel<128, 4, …>", min: 5.0, max: 9.0, variation: 80.00%, launches: 98
    "vectorized_elementwise_kernel<4, neg_kernel_cuda(…), _>", min: 4.0, max: 5.0, variation: 25.00%, launches: 75
    "reduce_kernel<512, 4, …>", min: 5.0, max: 6.0, variation: 20.00%, launches: 75
    "vectorized_elementwise_kernel<4, DivFunctor<float>, _>", min: 3.0, max: 4.0, variation: 33.33%, launches: 25
    "unrolled_elementwise_kernel<MulScalarFunctor<float, float>, _>", min: 5.0, max: 6.0, variation: 20.00%, launches: 50
    "volta_sgemm_128x32_nt", min: 19.0, max: 263.0, variation: 1284.21%, launches: 72
    "vectorized_elementwise_kernel<4, tanh_backward_kernel_cuda(…), _>", min: 19.0, max: 24.0, variation: 26.32%, launches: 12
    "volta_sgemm_64x32_sliced1x4_tn", min: 82.0, max: 297.0, variation: 262.20%, launches: 36
    "volta_sgemm_128x32_tn", min: 18.0, max: 28.0, variation: 55.56%, launches: 24
    "vectorized_elementwise_kernel<4, addcmul_cuda_kernel(…), _>", min: 3.0, max: 255.0, variation: 8400.00%, launches: 148
    "vectorized_elementwise_kernel<4, addcdiv_cuda_kernel(…), _>", min: 3.0, max: 374.0, variation: 12366.67%, launches: 148

Kernel Behavior Groups for 'gpu_tot_sim_cycle':
group-constant:
    "reduce_kernel<512, 1, MeanOps<…> >", min: 7981.0, max: 8146.0, variation: 2.07%, launches: 50
    "unrolled_elementwise_kernel<AUnaryFunctor<AddFunctor<float> >, _>", min: 6184.0, max: 6358.0, variation: 2.81%, launches: 12
    "softmax_warp_forward", min: 8825.0, max: 9320.0, variation: 5.61%, launches: 12
    "vectorized_elementwise_kernel<4, pow_tensor_scalar_kernel_impl(…), _>", min: 7448.0, max: 7555.0, variation: 1.44%, launches: 12
